_id,Complaint Number,Channel of Receipt,Initial Request Date for Information,Complaint Subject,Complaint Receipt Date,Entity Complained Against,Closing Date,Decision,Number of Treatment Days,Status
1,2/19,Online Form,2018-11-26 00:00:00,Lack of Justification,2019-01-03 00:00:00,משרד העבודה הרווחה והשירותים החברתיים,2019-03-21 12:15:12,Justified,77,Treatment Completed
2,4/19,Online Form,2018-11-27 00:00:00,No Response,2019-01-13 00:00:00,הנהלת בתי הדין הרבניים,2019-02-17 09:04:41,Unjustified,35,Treatment Completed
3,5/19,Online Form,2018-08-09 00:00:00,No Response,2019-01-16 00:00:00,משרד ראש הממשלה,2019-03-24 18:04:32,Justified,67,Treatment Completed
4,6/19,Online Form,2018-03-03 00:00:00,No Response,2019-01-17 00:00:00,משרד האוצר,2019-03-11 11:22:06,Justified,53,Treatment Completed
5,8/19,Email,2018-11-18 00:00:00,No Response,2019-01-27 13:25:00,משרד האוצר,2019-06-17 14:27:44,Justified,141,Treatment Completed
6,10/19,Online Form,2018-10-10 00:00:00,No Response,2019-01-29 00:00:00,משרד ראש הממשלה,2019-04-11 09:09:14,Justified,72,Treatment Completed
7,11/19,Online Form,2018-12-18 00:00:00,No Response,2019-01-29 00:00:00,משרד הבריאות,2019-04-15 13:43:14,Justified,76,Treatment Completed
8,12/19,Online Form,2019-01-30 00:00:00,No Response,2019-01-30 00:00:00,משרד התחבורה והבטיחות בדרכים,2019-03-11 12:00:59,Unjustified,40,Treatment Completed
9,19/19,Fax,2018-09-13 00:00:00,No Response,2019-02-03 16:26:00,רשות המסים בישראל,2019-03-07 11:24:45,Justified,31,Treatment Completed
10,20/19,Online Form,2019-01-14 00:00:00,No Response,2019-02-04 00:00:00,רשות האכיפה והגבייה,2019-03-05 13:19:25,Unjustified,29,Treatment Completed
11,22/19,Email,2018-08-28 00:00:00,No Response,2019-02-11 11:42:00,משרד העבודה הרווחה והשירותים החברתיים,2019-03-11 13:21:43,Justified,28,Treatment Completed
12,23/19,Online Form,2018-12-06 00:00:00,No Response,2019-02-14 00:00:00,משרד החקלאות ופיתוח הכפר,2019-06-03 08:30:49,Justified,109,Treatment Completed
13,24/19,Online Form,2019-02-14 00:00:00,No Response,2019-02-14 00:00:00,משרד האוצר,2019-03-04 08:20:38,Unjustified,18,Treatment Completed
14,25/19,Online Form,2018-12-11 00:00:00,No Response,2019-02-19 00:00:00,משרד החקלאות ופיתוח הכפר,2019-06-17 08:13:45,Justified,118,Treatment Completed
15,26/19,Online Form,2018-12-10 00:00:00,No Response,2019-02-20 00:00:00,משרד העבודה הרווחה והשירותים החברתיים,2019-03-11 13:57:29,Justified,19,Treatment Completed
16,28/19,Online Form,2019-01-20 00:00:00,No Response,2019-02-25 00:00:00,משרד האוצר,2019-03-11 14:06:27,Justified,14,Treatment Completed
17,30/19,Email,2018-07-26 00:00:00,No Response,2019-02-26 09:42:00,המשרד לביטחון פנים,2019-04-16 10:17:14,Justified,49,Treatment Completed
18,33/19,Online Form,2019-02-27 00:00:00,Administrative Guidelines,2019-02-27 00:00:00,הנהלת בתי המשפט,2019-05-12 13:06:27,Justified,74,Treatment Completed
